rank,article_id,title,url,tier,primary_issue,secondary_issue,action,gsc_clicks,ga4_sessions
153,1002434529,Google Takeout là gì? Hướng dẫn chi tiết cách sao lưu dữ liệu Google,https://sintech.vn/blogs/news/google-takeout-la-gi-huong-dan-chi-tiet-cach-sao-luu-du-lieu-google,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
154,1002413861,"Ra mắt iPhone mới, Apple vẫn phải đối mặt với nỗi sợ 'bán ế' tại Trung Quốc?",https://sintech.vn/blogs/news/ra-mat-iphone-moi-apple-van-phai-doi-mat-voi-noi-so-ban-e-tai-trung,P2,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,resize/nén hero + nén ảnh >300KB + gỡ/thay ảnh external,0,0
155,1002417574,Bạn đang cầm chuột đúng cách chưa? Khám phá các kiểu cầm chuột phổ biến,https://sintech.vn/blogs/news/ban-dang-cam-chuot-dung-cach-chua-kham-pha-cac-kieu-cam-chuot-pho-bie,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
156,1002411373,Card đồ họa laptop là gì? Cách chọn card đồ họa rời laptop phù hợp nhu cầu,https://sintech.vn/blogs/news/card-do-hoa-laptop-la-gi-cach-chon-card-do-hoa-roi-laptop-phu-hop-nhu,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
157,1002402594,"Cách lấy lại file Word gốc, chưa lưu trên Macbook và Windows mới nhất",https://sintech.vn/blogs/news/cach-lay-lai-file-word-goc-chua-luu-tren-macbook-va-windows-moi-nhat,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,0,0
158,1002411604,Bing Image Creator: Bí Kíp Tạo Hình Ảnh Thu Hút Traffic Cho Website,https://sintech.vn/blogs/news/bing-image-creator-bi-kip-tao-hinh-anh-thu-hut-traffic-cho-website,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
159,1002413914,"""Nóng"" cuộc đua phủ trạm sạc xe điện: Công ty của ông Phạm Nhật Vượng muốn biến siêu thị, quán cafe thành điểm sạc, gã khổng lồ tỷ USD ngành điện rục rịch tham gia",https://sintech.vn/blogs/news/nong-cuoc-dua-phu-tram-sac-xe-dien-cong-ty-cua-ong-pham-nhat-vuong,P3,CLS_LAYOUT_RISK,,nén ảnh >300KB + gỡ/thay ảnh external,0,0
160,1002416821,Đánh giá Rapoo VT3 Pro: Có đáng mua với mức giá dưới 1 triệu?,https://sintech.vn/blogs/news/danh-gia-rapoo-vt3-pro-co-dang-mua-voi-muc-gia-duoi-1-trieu,P3,IMAGES_MISSING_DIMENSIONS,CLS_LAYOUT_RISK,nén ảnh >300KB + thêm width/height + gỡ/thay ảnh external,0,0
161,1002434311,AMD Ryzen AI 9 HX 370: Quái vật hiệu năng mới cho laptop gaming,https://sintech.vn/blogs/news/amd-ryzen-ai-9-hx-370-quai-vat-hieu-nang-moi-cho-laptop-gaming,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
162,1002497780,Maxsun Hé Lộ Thông Tin Về Card Đồ Họa Intel Battlemage Sắp Ra Mắt,https://sintech.vn/blogs/news/maxsun-he-lo-thong-tin-ve-card-do-hoa-intel-battlemage-sap-ra-mat,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold,0,0
163,1002423203,"Lộ thông tin về Arrow Lake-HX Series cho laptop: 24 nhân, xung 5.5 GHz",https://sintech.vn/blogs/news/lo-thong-tin-ve-arrow-lake-hx-series-cho-laptop-24-nhan-xung-5-5-ghz,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
164,1002423204,"AMD Ryzen 200 và Intel Core 200 dự kiến ra mắt từ cuối năm nay, dành cho laptop hiệu năng cao",https://sintech.vn/blogs/news/amd-ryzen-200-va-intel-core-200-du-kien-ra-mat-tu-cuoi-nam-nay-danh-c,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
